Yearmon,CPI
1913-01-01,9.80
1913-01-02,9.80
1913-01-03,9.80
1913-01-04,9.80
1913-01-05,9.70
1913-01-06,9.80
1913-01-07,9.90
1913-01-08,9.90
1913-01-09,10.00
1913-01-10,10.00
1913-01-11,10.10
1913-01-12,10.00
1913-01-13,10.00
1913-01-14,9.90
1913-01-15,9.90
1913-01-16,9.80
1913-01-17,9.90
1913-01-18,9.90
1913-01-19,10.00
1913-01-20,10.20
1913-01-21,10.20
1913-01-22,10.10
1913-01-23,10.20
1913-01-24,10.10
1913-01-25,10.10
1913-01-26,10.00
1913-01-27,9.90
1913-01-28,10.00
1913-01-29,10.10
1913-01-30,10.10
1913-01-31,10.10
1913-02-01,10.10
1913-02-02,10.10
1913-02-03,10.20
1913-02-04,10.30
1913-02-05,10.30
1913-02-06,10.40
1913-02-07,10.40
1913-02-08,10.50
1913-02-09,10.60
1913-02-10,10.70
1913-02-11,10.80
1913-02-12,10.80
1913-02-13,10.90
1913-02-14,11.10
1913-02-15,11.30
1913-02-16,11.50
1913-02-17,11.60
1913-02-18,11.70
1913-02-19,12.00
1913-02-20,12.00
1913-02-21,12.60
1913-02-22,12.80
1913-02-23,13.00
1913-02-24,12.80
1913-02-25,13.00
1913-02-26,13.30
1913-02-27,13.50
1913-02-28,13.50
1913-03-01,13.70
1913-03-02,14.00
1913-03-03,14.10
1913-03-04,14.00
1913-03-05,14.20
1913-03-06,14.50
1913-03-07,14.70
1913-03-08,15.10
1913-03-09,15.40
1913-03-10,15.70
1913-03-11,16.00
1913-03-12,16.30
1913-03-13,16.50
1913-03-14,16.50
1913-03-15,16.20
1913-03-16,16.40
1913-03-17,16.70
1913-03-18,16.90
1913-03-19,16.90
1913-03-20,17.40
1913-03-21,17.70
1913-03-22,17.80
1913-03-23,18.10
1913-03-24,18.50
1913-03-25,18.90
1913-03-26,19.30
1913-03-27,19.50
1913-03-28,19.70
1913-03-29,20.30
1913-03-30,20.60
1913-03-31,20.90
1913-04-01,20.80
1913-04-02,20.30
1913-04-03,20.00
1913-04-04,19.90
1913-04-05,19.80
1913-04-06,19.40
1913-04-07,19.00
1913-04-08,18.40
1913-04-09,18.30
1913-04-10,18.10
1913-04-11,17.70
1913-04-12,17.60
1913-04-13,17.70
1913-04-14,17.70
1913-04-15,17.50
1913-04-16,17.50
1913-04-17,17.40
1913-04-18,17.30
1913-04-19,16.90
1913-04-20,16.90
1913-04-21,16.70
1913-04-22,16.70
1913-04-23,16.70
1913-04-24,16.70
1913-04-25,16.80
1913-04-26,16.60
1913-04-27,16.60
1913-04-28,16.70
1913-04-29,16.80
1913-04-30,16.90
1913-05-01,16.80
1913-05-02,16.80
1913-05-03,16.80
1913-05-04,16.90
1913-05-05,16.90
1913-05-06,17.00
1913-05-07,17.20
1913-05-08,17.10
1913-05-09,17.20
1913-05-10,17.30
1913-05-11,17.30
1913-05-12,17.30
1913-05-13,17.30
1913-05-14,17.20
1913-05-15,17.10
1913-05-16,17.00
1913-05-17,17.00
1913-05-18,17.00
1913-05-19,17.10
1913-05-20,17.00
1913-05-21,17.10
1913-05-22,17.20
1913-05-23,17.20
1913-05-24,17.30
1913-05-25,17.30
1913-05-26,17.20
1913-05-27,17.30
1913-05-28,17.20
1913-05-29,17.30
1913-05-30,17.50
1913-05-31,17.70
1913-06-01,17.70
1913-06-02,17.70
1913-06-03,17.70
1913-06-04,18.00
1913-06-05,17.90
1913-06-06,17.90
1913-06-07,17.90
1913-06-08,17.80
1913-06-09,17.90
1913-06-10,17.80
1913-06-11,17.70
1913-06-12,17.50
1913-06-13,17.40
1913-06-14,17.50
1913-06-15,17.60
1913-06-16,17.70
1913-06-17,17.70
